id,txt
A0AVF1-2,TTC26 (IFT56) | A0AVF1-2
A0AVF1-3,TTC26 (IFT56) | A0AVF1-3
A0AVI2,  (FR1L5) | A0AVI2
A0AVI2-2,  (FR1L5) | A0AVI2-2
A0AVI2-4,  (FR1L5) | A0AVI2-4
A0AVI4,TMEM129 (TM129) | A0AVI4
A0AVI4-2,TMEM129 (TM129) | A0AVI4-2
A0AVK6,E2F8 (E2F8) | A0AVK6
A0AVT1,  (UBA6) | A0AVT1
A0AVT1-2,  (UBA6) | A0AVT1-2
A0AVT1-3,  (UBA6) | A0AVT1-3
A0AVT1-4,  (UBA6) | A0AVT1-4
A0FGR8,ESYT2 (ESYT2) | A0FGR8
A0FGR8-2,ESYT2 (ESYT2) | A0FGR8-2
A0FGR8-4,ESYT2 (ESYT2) | A0FGR8-4
A0FGR8-5,ESYT2 (ESYT2) | A0FGR8-5
A0FGR8-6,ESYT2 (ESYT2) | A0FGR8-6
A0FGR9,ESYT3 (ESYT3) | A0FGR9
A0FGR9-2,ESYT3 (ESYT3) | A0FGR9-2
A0JD32,TRAV38-2DV8 (TV382) | A0JD32
A0JD36,TRDV2 (TRDV2) | A0JD36
A0JD37,TRDV3 (TRDV3) | A0JD37
A0JLT2,MED19 (MED19) | A0JLT2
A0JLT2-2,MED19 (MED19) | A0JLT2-2
A0JNW5,  (UH1BL) | A0JNW5
A0JNW5-2,  (UH1BL) | A0JNW5-2
A0JP26,POTEB3 (POTB3) | A0JP26
A0JP26-2,POTEB3 (POTB3) | A0JP26-2
A0JP26-3,POTEB3 (POTB3) | A0JP26-3
A0M8Q6,IGLC7 (IGLC7) | A0M8Q6
A0MZ66,SHTN1 (SHOT1) | A0MZ66
A0MZ66-2,SHTN1 (SHOT1) | A0MZ66-2
A0MZ66-3,SHTN1 (SHOT1) | A0MZ66-3
A0MZ66-4,SHTN1 (SHOT1) | A0MZ66-4
A0MZ66-5,SHTN1 (SHOT1) | A0MZ66-5
A0MZ66-6,SHTN1 (SHOT1) | A0MZ66-6
A0MZ66-7,SHTN1 (SHOT1) | A0MZ66-7
A0MZ66-8,SHTN1 (SHOT1) | A0MZ66-8
A0PG75,PLSCR5 (PLS5) | A0PG75
A0PG75-2,PLSCR5 (PLS5) | A0PG75-2
A0PJE2,DHRS12 (DHR12) | A0PJE2
A0PJE2-2,DHRS12 (DHR12) | A0PJE2-2
A0PJE2-3,DHRS12 (DHR12) | A0PJE2-3
A0PJK1,SLC5A10 (SC5AA) | A0PJK1
A0PJK1-2,SLC5A10 (SC5AA) | A0PJK1-2
A0PJK1-3,SLC5A10 (SC5AA) | A0PJK1-3
